customer_id,customer_name,loyalty_status,age,gender,join_date
1,Robert Graham,Basic,30.0,Female,2022-12-05
2,Jacqueline Diaz,Silver,62.0,Male,2024-06-07
3,Stephanie Randall,Basic,33.0,Female,2023-09-18
4,Savannah Atkinson,Basic,23.0,Male,2024-03-17
5,Samuel Gamble,Basic,40.0,Female,2024-09-22
6,Terry Hicks,Gold,24.0,Female,2023-06-08
7,Sarah Murphy,Basic,65.0,Other,2023-03-12
8,Debra Hobbs,Silver,57.0,Female,2024-11-02
9,Anthony Davis II,Silver,35.0,Male,2022-07-07
10,Katrina Harding,Silver,20.0,Female,2023-12-21
11,Barry Clark,Platinum,19.0,Female,2024-08-03
12,Michael Brown,Silver,46.0,Male,2022-07-28
13,Jessica Garcia,Basic,64.0,Male,2024-10-25
14,Krystal Barker,Platinum,33.0,Male,2023-03-31
15,Terri Downs,Silver,52.0,Male,2025-01-23
16,Justin Clark,Basic,61.0,Male,2025-02-27
17,Kristen Miller,Basic,48.0,Female,2025-01-28
18,Ashley Dalton,Gold,33.0,Male,2025-04-09
19,Tracy Hale,Basic,32.0,Male,2022-07-07
20,Juan Mclean,Silver,19.0,Female,2022-08-02
21,Stacey Jones,Basic,33.0,Female,2023-09-30
22,Monica Gates,Basic,34.0,Female,2023-07-15
23,Brian Johnson,Silver,43.0,Male,2023-05-15
24,Krista Sharp,Basic,24.0,Female,2022-05-18
25,Erin Smith,Basic,20.0,Female,2023-12-10
26,Linda Long,Silver,24.0,Male,2023-06-26
27,Alexandria Jackson,Basic,46.0,Male,2022-11-05
28,Donna Berger,Silver,58.0,Female,2022-09-30
29,Tiffany Torres,Gold,36.0,Female,2024-01-06
30,Abigail Le,Silver,33.0,Other,2023-06-26
31,Donald Newton,Basic,37.0,Female,2025-01-22
32,Trevor Moore,Basic,60.0,Female,2025-01-29
33,Billy Brooks,Silver,34.0,Female,2025-01-10
34,Sandra Rivera,Gold,53.0,Male,2022-12-24
35,Charles Jefferson,Gold,30.0,Male,2024-09-01
36,Tamara Smith,Gold,33.0,Male,2023-01-01
37,William Ramirez,Basic,34.0,Female,2022-10-21
38,Christopher Hooper,Basic,59.0,Female,2024-07-06
39,Vincent Schneider,Basic,24.0,Female,2024-03-18
40,Jackie Allen,Basic,43.0,Male,2023-02-07
41,Michael Lee,Basic,24.0,Female,2022-12-05
42,Dustin Galloway,Gold,25.0,Male,2024-05-17
43,Mary Reilly,Basic,30.0,Male,2022-10-02
44,Curtis White,Basic,62.0,Female,2022-09-28
45,Sydney Fox,Basic,53.0,Female,2024-12-08
46,Wayne Boyd,Gold,33.0,Other,2023-05-21
47,Joseph Shaffer,Silver,39.0,Other,2022-06-14
48,Brenda Hancock,Silver,20.0,Male,2023-11-01
49,Steven Sullivan,Gold,23.0,Other,2024-11-28
50,Janet Lowe,Basic,46.0,Other,2023-08-14
51,Casey Rivera,Silver,27.0,Female,2024-06-12
52,Luis Murray,Basic,59.0,Female,2023-01-26
53,Julia Taylor,Basic,20.0,Female,2023-06-24
54,Kevin Herrera,Gold,60.0,Male,2023-05-31
55,Billy Sanders,Silver,25.0,Female,2022-11-29
56,Cynthia Hart,Basic,23.0,Male,2024-02-24
57,Sandra Anderson,Basic,29.0,Female,2023-11-15
58,Jeffrey Adams,Silver,43.0,Male,2023-08-22
59,Melinda Ruiz,Basic,47.0,Male,2022-04-18
60,Tim Contreras,Basic,27.0,Female,2024-10-22
